date,time,etapa,matchday,home_team,away_team,city,stadium,status,result,goles_local,goles_visitante,penales_local,penales_visitante,ganador_real,resultado_tipo
2026-06-26,22:00,Fase de grupos,3.0,New Zealand,Belgium,Vancouver,BC Place,Played,1-5,1.0,5.0,,,Belgium,tiempo_reglamentario
2026-06-27,16:00,Fase de grupos,3.0,Croatia,Ghana,Philadelphia,Lincoln Financial Field,Played,2-1,2.0,1.0,,,Croatia,tiempo_reglamentario
2026-06-27,16:00,Fase de grupos,3.0,Panama,England,East Rutherford,MetLife Stadium,Played,0-2,0.0,2.0,,,England,tiempo_reglamentario
2026-06-27,18:30,Fase de grupos,3.0,Colombia,Portugal,Miami Gardens,Hard Rock Stadium,Played,0-0,0.0,0.0,,,Empate,empate
2026-06-27,18:30,Fase de grupos,3.0,Congo DR,Uzbekistan,Atlanta,Mercedes-Benz Stadium,Played,3-1,3.0,1.0,,,Congo DR,tiempo_reglamentario
2026-06-27,21:00,Fase de grupos,3.0,Algeria,Austria,Kansas City,Arrowhead Stadium,Played,3-3,3.0,3.0,,,Empate,empate
2026-06-27,21:00,Fase de grupos,3.0,Jordan,Argentina,Arlington,AT&T Stadium,Played,1-3,1.0,3.0,,,Argentina,tiempo_reglamentario
2026-06-28,14:00,Dieciseisavos,32.0,South Africa,Canada,Inglewood,SoFi Stadium,Played,0-1,0.0,1.0,,,Canada,tiempo_reglamentario
2026-06-29,12:00,Dieciseisavos,32.0,Brazil,Japan,Houston,NRG Stadium,Played,2-1,2.0,1.0,,,Brazil,tiempo_reglamentario
2026-06-29,15:30,Dieciseisavos,32.0,Germany,Paraguay,Boston,Gillette Stadium,Played,1-1 (pens 3-4),1.0,1.0,3.0,4.0,Paraguay,penales
2026-06-29,20:00,Dieciseisavos,32.0,Netherlands,Morocco,Monterrey,Estadio BBVA,Played,1-1 (pens 2-3),1.0,1.0,2.0,3.0,Morocco,penales
2026-06-30,12:00,Dieciseisavos,32.0,Ivory Coast,Norway,Dallas,AT&T Stadium,Played,1-2,1.0,2.0,,,Norway,tiempo_reglamentario
2026-06-30,16:00,Dieciseisavos,32.0,France,Sweden,New-York,MetLife Stadium,Played,3-0,3.0,0.0,,,France,tiempo_reglamentario
2026-06-30,20:00,Dieciseisavos,32.0,Mexico,Ecuador,Mexico City,Estadio Banorte,Played,2-0,2.0,0.0,,,Mexico,tiempo_reglamentario
2026-07-01,11:00,Dieciseisavos,32.0,England,Congo DR,Atlanta,Mercedes-Benz Stadium,Played,2-1,2.0,1.0,,,England,tiempo_reglamentario
2026-07-01,15:00,Dieciseisavos,32.0,Belgium,Senegal,Seattle,Lumen Field,Played,3-2,3.0,2.0,,,Belgium,tiempo_reglamentario
2026-07-01,19:00,Dieciseisavos,32.0,USA,Bosnia & Herzegovina,San-Francisco,Levi's Stadium,Played,2-0,2.0,0.0,,,USA,tiempo_reglamentario
2026-07-02,14:00,Dieciseisavos,32.0,Spain,Austria,Inglewood,SoFi Stadium,Played,3-0,3.0,0.0,,,Spain,tiempo_reglamentario
2026-07-02,18:00,Dieciseisavos,32.0,Portugal,Croatia,Toronto,BMO Field,Played,2-1,2.0,1.0,,,Portugal,tiempo_reglamentario
2026-07-02,22:00,Dieciseisavos,32.0,Switzerland,Algeria,Vancouver,BC Place,Played,2-0,2.0,0.0,,,Switzerland,tiempo_reglamentario
2026-07-03,13:00,Dieciseisavos,32.0,Australia,Egypt,Dallas,AT&T Stadium,Played,1-1 (pens 2-4),1.0,1.0,2.0,4.0,Egypt,penales
2026-07-03,17:00,Dieciseisavos,32.0,Argentina,Cape Verde Islands,Miami,Hard Rock Stadium,Played,3-2,3.0,2.0,,,Argentina,tiempo_reglamentario
2026-07-03,20:30,Dieciseisavos,32.0,Colombia,Ghana,Kansas City,Arrowhead Stadium,Played,1-0,1.0,0.0,,,Colombia,tiempo_reglamentario
2026-07-04,12:00,Octavos de final,16.0,Canada,Morocco,Houston,NRG Stadium,Played,0-3,0.0,3.0,,,Morocco,tiempo_reglamentario
2026-07-04,16:00,Octavos de final,16.0,Paraguay,France,Philadelphia,Lincoln Financial Field,Played,0-1,0.0,1.0,,,France,tiempo_reglamentario
2026-07-05,15:00,Octavos de final,16.0,Brazil,Norway,East Rutherford,MetLife Stadium,To be played,,,,,,,pendiente
2026-07-05,19:00,Octavos de final,16.0,Mexico,England,Mexico City,Estadio Banorte,To be played,,,,,,,pendiente
2026-07-06,14:00,Octavos de final,16.0,Portugal,Spain,,,To be played,,,,,,,pendiente
2026-07-06,19:00,Octavos de final,16.0,USA,Belgium,Seattle,Lumen Field,To be played,,,,,,,pendiente
2026-07-07,11:00,Octavos de final,16.0,Argentina,Egypt,,,To be played,,,,,,,pendiente
2026-07-07,15:00,Octavos de final,16.0,Switzerland,Colombia,,,To be played,,,,,,,pendiente
2026-07-09,15:00,Ronda final posterior,,France,Morocco,,,To be played,,,,,,,pendiente
2026-07-10,14:00,Ronda final posterior,,TBD Home (Quarter-finals #2),TBD Away (Quarter-finals #2),,,To be played,,,,,,,pendiente
2026-07-11,16:00,Ronda final posterior,,TBD Home (Quarter-finals #3),TBD Away (Quarter-finals #3),,,To be played,,,,,,,pendiente
2026-07-11,20:00,Ronda final posterior,,TBD Home (Quarter-finals #4),TBD Away (Quarter-finals #4),,,To be played,,,,,,,pendiente
2026-07-14,14:00,Ronda final posterior,,TBD Home (Semi-finals #1),TBD Away (Semi-finals #1),,,To be played,,,,,,,pendiente
2026-07-15,14:00,Ronda final posterior,,TBD Home (Semi-finals #2),TBD Away (Semi-finals #2),,,To be played,,,,,,,pendiente
2026-07-18,16:00,Ronda final posterior,,TBD Home (3rd Place Final #1),TBD Away (3rd Place Final #1),,,To be played,,,,,,,pendiente
2026-07-19,14:00,Ronda final posterior,,TBD Home (Final #1),TBD Away (Final #1),,,To be played,,,,,,,pendiente
